Ticker,Original_Name,Date,Action,Conviction,Entry_Price,T+1w,T+1m,T+3m,T+6m,Verdict
GEN,GEN,September 5th 2024,Buy,8,25.38,1.2,5.98,19.39,6.01,CORRECT ✅
GEN,GEN,September 5th 2024,Buy,8,25.38,1.2,5.98,19.39,6.01,CORRECT ✅
ASOMY,ASOS,September 5th 2024,Monitor for potential addition,6,5.55,-0.18,3.42,-13.87,-28.47,CORRECT ✅
AAP,AAP,September 5th 2024,Buy,7,39.3,-2.42,-4.37,6.1,-13.48,WRONG ❌
MMM,MMM,September 5th 2024,"Sold, will consider re-entering below $100",6,128.28,0.48,2.95,0.34,12.15,PENDING ⏳
SMTC,SMTC,September 5th 2024,Sold,5,42.17,-3.75,-1.16,58.76,-14.51,PENDING ⏳
GOOG,GOOG,September 5th 2024,"Sold majority, will extinguish the rest on strength",4,157.6,-1.8,6.42,9.24,9.1,PENDING ⏳
C,C,September 5th 2024,Sold,5,58.47,-5.44,3.32,18.84,21.22,PENDING ⏳
BAC,BAC,September 5th 2024,Sold,5,38.76,-2.76,0.58,17.4,7.59,PENDING ⏳
INTC,INTC,September 5th 2024,Buy,8,19.4,-0.21,16.44,15.82,9.95,CORRECT ✅
AMZN,AMZN,September 5th 2024,Sold,5,177.89,5.12,4.85,19.98,14.57,PENDING ⏳
GXO,GXO,September 5th 2024,Hold,8,47.66,3.84,3.44,23.79,-22.14,CORRECT ✅
INTC,INTC,September 5th 2024,Buy,8,19.4,-0.21,16.44,15.82,9.95,CORRECT ✅
PYPL,PYPL,September 5th 2024,Buy,8,71.86,-2.32,10.18,18.2,-6.32,CORRECT ✅
NVDA,NVDA,September 5th 2024,Avoid,4,107.16,11.14,16.53,30.84,8.21,WRONG ❌
BABA,BABA,September 5th 2024,Buy,10,81.06,3.71,38.94,3.94,57.53,CORRECT ✅
BA,BA,September 5th 2024,Buy on dips,9,162.15,0.38,-4.41,-4.41,-2.0,WRONG ❌
AMZN,AMZN,September 5th 2024,Sold,5,177.89,5.12,4.85,19.98,14.57,PENDING ⏳
BAC,BAC,September 5th 2024,Sold,5,38.76,-2.76,0.58,17.4,7.59,PENDING ⏳
C,C,September 5th 2024,Sold,5,58.47,-5.44,3.32,18.84,21.22,PENDING ⏳
GOOG,GOOG,September 5th 2024,"Sold majority, will extinguish the rest on strength",4,157.6,-1.8,6.42,9.24,9.1,PENDING ⏳
SMTC,SMTC,September 5th 2024,Sold,5,42.17,-3.75,-1.16,58.76,-14.51,PENDING ⏳
MMM,MMM,September 5th 2024,"Sold, will consider re-entering below $100",6,128.28,0.48,2.95,0.34,12.15,PENDING ⏳
AAP,AAP,September 5th 2024,Buy,7,39.3,-2.42,-4.37,6.1,-13.48,WRONG ❌
WHR,WHR,September 5th 2024,Monitor for potential entry,6,90.37,-3.75,6.83,14.95,-3.91,PENDING ⏳
SWK,SWK,September 5th 2024,Hold,7,93.12,-0.54,9.17,-9.46,-15.61,CORRECT ✅
SWK,SWK,September 5th 2024,Hold,7,93.12,-0.54,9.17,-9.46,-15.61,CORRECT ✅
WHR,WHR,September 5th 2024,Monitor for potential entry,6,90.37,-3.75,6.83,14.95,-3.91,PENDING ⏳
ASOMY,ASOS,September 5th 2024,Monitor for potential addition,6,5.55,-0.18,3.42,-13.87,-28.47,CORRECT ✅
GXO,GXO,September 5th 2024,Hold,8,47.66,3.84,3.44,23.79,-22.14,CORRECT ✅
PYPL,PYPL,September 5th 2024,Buy,8,71.86,-2.32,10.18,18.2,-6.32,CORRECT ✅
BABA,BABA,September 5th 2024,Buy,10,81.06,3.71,38.94,3.94,57.53,CORRECT ✅
BA,BA,September 5th 2024,Buy on dips,9,162.15,0.38,-4.41,-4.41,-2.0,WRONG ❌
INTC,INTC,September 5th 2024,Buy,8,19.4,-0.21,16.44,15.82,9.95,CORRECT ✅
GEN,GEN,September 5th 2024,Buy,8,25.38,1.2,5.98,19.39,6.01,CORRECT ✅
PYPL,PYPL,September 5th 2024,Buy,8,71.86,-2.32,10.18,18.2,-6.32,CORRECT ✅
